"section","order","details_html"
"2022",12,"<details>
    <summary> [An adaptive teosinte mexicana introgression modulates phosphatidylcholine levels and is associated with maize flowering time](https://doi.org/10.1073/pnas.2100036119)
 Allison C. Barnes, Fausto Rodríguez-Zapata, Karla A. Juárez-Núñez, Daniel J. Gates, ...[22 authors]..., **Jeffrey Ross-Ibarra**, Matthew B. Hufford, Ruairidh J. H. Sawers, Rubén Rellán-Álvarez

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Native Americans domesticated maize ( Zea mays ssp. mays ) from lowland teosinte parviglumis ( Zea mays ssp. parviglumis) in the warm Mexican southwest and brought it to the highlands of Mexico and South America where it was exposed to lower temperatures that imposed strong selection on flowering time. Phospholipids are important metabolites in plant responses to low-temperature and phosphorus availability and have been suggested to influence flowering time. Here, we combined linkage mapping with genome scans to identify High PhosphatidylCholine 1 ( HPC1 ), a gene that encodes a phospholipase A1 enzyme, as a major driver of phospholipid variation in highland maize. Common garden experiments demonstrated strong genotype-by-environment interactions associated with variation at HPC1, with the highland HPC1 allele leading to higher fitness in highlands, possibly by hastening flowering. The highland maize HPC1 variant resulted in impaired function of the encoded protein due to a polymorphism in a highly conserved sequence. A meta-analysis across HPC1 orthologs indicated a strong association between the identity of the amino acid at this position and optimal growth in prokaryotes. Mutagenesis of HPC1 via genome editing validated its role in regulating phospholipid metabolism. Finally, we showed that the highland HPC1 allele entered cultivated maize by introgression from the wild highland teosinte Zea mays ssp. mexicana and has been maintained in maize breeding lines from the Northern United States, Canada, and Europe. Thus, HPC1 introgressed from teosinte mexicana underlies a large metabolic QTL that modulates phosphatidylcholine levels and has an adaptive effect at least in part via induction of early flowering time.
 </p></details><p></p>"
"2022",13,"<details>
    <summary> [Genomic insights into historical improvement of heterotic groups during modern hybrid maize breeding](https://doi.org/10.1038/s41477-022-01190-2)
 Chunhui Li, Honghui Guan, Xin Jing, Yaoyao Li, ...[18 authors]..., **Jeffrey Ross-Ibarra**, Yu Li, Tianyu Wang, Haiyang Wang

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2022",14,"<details>
    <summary> [Conflict over fertilization underlies the transient evolution of reinforcement](https://doi.org/10.1371/journal.pbio.3001814)
 Catherine A. Rushworth, Alison M. Wardlaw, **Jeffrey Ross-Ibarra**, Yaniv Brandvain

 </summary>  
    <p style=""""margin-left: 30px""""> 
 When two species meet in secondary contact, the production of low fitness hybrids may be prevented by the adaptive evolution of increased prezygotic isolation, a process known as reinforcement. Theoretical challenges to the evolution of reinforcement are generally cast as a coordination problem, i.e., “how can statistical associations between traits and preferences be maintained in the face of recombination?” However, the evolution of reinforcement also poses a potential conflict between mates. For example, the opportunity costs to hybridization may differ between the sexes or species. This is particularly likely for reinforcement based on postmating prezygotic (PMPZ) incompatibilities, as the ability to fertilize both conspecific and heterospecific eggs is beneficial to male gametes, but heterospecific mating may incur a cost for female gametes. We develop a population genetic model of interspecific conflict over reinforcement inspired by “gametophytic factors”, which act as PMPZ barriers among Zea mays subspecies. We demonstrate that this conflict results in the transient evolution of reinforcement—after females adaptively evolve to reject gametes lacking a signal common in conspecific gametes, this gamete signal adaptively introgresses into the other population. Ultimately, the male gamete signal fixes in both species, and isolation returns to pre-reinforcement levels. We interpret geographic patterns of isolation among Z . mays subspecies considering these findings and suggest when and how this conflict can be resolved. Our results suggest that sexual conflict over fertilization may pose an understudied obstacle to the evolution of reinforcement.
 </p></details><p></p>"
"2022",15,"<details>
    <summary> [The genomic signature of wild-to-crop introgression during the domestication of scarlet runner bean ( Phaseolus coccineus L.)](https://doi.org/10.1002/evl3.285)
 Azalea Guerra-García, Idalia C. Rojas-Barrera, **Jeffrey Ross-Ibarra**, Roberto Papa, Daniel Piñero

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract The scarlet runner bean (Phaseolus coccineus) is one of the five domesticated Phaseolus species. It is cultivated in small-scale agriculture in the highlands of Mesoamerica for its dry seeds and immature pods, and unlike the other domesticated beans, P. coccineus is an open-pollinated legume. Contrasting with its close relative, the common bean, few studies focusing on its domestication history have been conducted. Demographic bottlenecks associated with domestication might reduce genetic diversity and facilitate the accumulation of deleterious mutations. Conversely, introgression from wild relatives could be a source of variation. Using Genotyping by Sequencing data (79,286 single-nucleotide variants) from 237 cultivated and wild samples, we evaluated the demographic history of traditional varieties from different regions of Mexico and looked for evidence of introgression between sympatric wild and cultivated populations. Traditional varieties have high levels of diversity, even though there is evidence of a severe initial genetic bottleneck followed by a population expansion. Introgression from wild to domesticated populations was detected, which might contribute to the recovery of the genetic variation. Introgression has occurred at different times: constantly in the center of Mexico; recently in the North West; and anciently in the South. Several factors are acting together to increase and maintain genetic diversity in P. coccineus cultivars, such as demographic expansion and introgression. Wild relatives represent a valuable genetic resource and have played a key role in scarlet runner bean evolution via introgression into traditional varieties.
 </p></details><p></p>"
"2021",6,"<details>
    <summary> [De novo assembly, annotation, and comparative analysis of 26 diverse maize genomes](https://doi.org/10.1126/science.abg5289)
 Matthew B. Hufford, Arun S. Seetharam, Margaret R. Woodhouse, Kapeel M. Chougule, ...[38 authors]..., Jonathan I. Gent, Candice N. Hirsch, Doreen Ware, R. Kelly Dawe

 </summary>  
    <p style=""""margin-left: 30px""""> 
 An a-maize-ing set of genomes Maize is an important crop cultivated worldwide. As maize spread across the world, selection for local environments resulted in variation, but the impact on differences between the genome has not been quantified. By producing high-quality genomic sequences of the 26 lines used in the maize nested association mapping panel, Hufford et al . map important traits and demonstrate the diversity of maize. Examining RNA and methylation of genes across accessions, the authors identified a core set of maize genes. Beyond this core set, comparative analysis across lines identified high levels of variation in the total set of genes, the maize pan-genome. The value of this resource was further exemplified by mapping quantitative traits of interest, including those related to pathogen resistance. —LMZ
 </p></details><p></p>"
"2021",7,"<details>
    <summary> [The genomic ecosystem of transposable elements in maize](https://doi.org/10.1371/journal.pgen.1009768)
 Michelle C. Stitzer, Sarah N. Anderson, Nathan M. Springer, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Transposable elements (TEs) constitute the majority of flowering plant DNA, reflecting their tremendous success in subverting, avoiding, and surviving the defenses of their host genomes to ensure their selfish replication. More than 85% of the sequence of the maize genome can be ascribed to past transposition, providing a major contribution to the structure of the genome. Evidence from individual loci has informed our understanding of how transposition has shaped the genome, and a number of individual TE insertions have been causally linked to dramatic phenotypic changes. Genome-wide analyses in maize and other taxa have frequently represented TEs as a relatively homogeneous class of fragmentary relics of past transposition, obscuring their evolutionary history and interaction with their host genome. Using an updated annotation of structurally intact TEs in the maize reference genome, we investigate the family-level dynamics of TEs in maize. Integrating a variety of data, from descriptors of individual TEs like coding capacity, expression, and methylation, as well as similar features of the sequence they inserted into, we model the relationship between attributes of the genomic environment and the survival of TE copies and families. In contrast to the wholesale relegation of all TEs to a single category of junk DNA, these differences reveal a diversity of survival strategies of TE families. Together these generate a rich ecology of the genome, with each TE family representing the evolution of a distinct ecological niche. We conclude that while the impact of transposition is highly family- and context-dependent, a family-level understanding of the ecology of TEs in the genome can refine our ability to predict the role of TEs in generating genetic and phenotypic diversity.
 </p></details><p></p>"
"2021",8,"<details>
    <summary> [Comparative evolutionary genetics of deleterious load in sorghum and maize](https://doi.org/10.1038/s41477-020-00834-5)
 Roberto Lozano, Elodie Gazave, Jhonathan P. R. dos Santos, Markus G. Stetter, ...[7 authors]..., M. Taylor Perkins, Edward S. Buckler, **Jeffrey Ross-Ibarra**, Michael A. Gore

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2021",9,"<details>
    <summary> [Selective sorting of ancestral introgression in maize and teosinte along an elevational cline](https://doi.org/10.1371/journal.pgen.1009810)
 Erin Calfee, Daniel Gates, Anne Lorant, M. Taylor Perkins, Graham Coop, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 While often deleterious, hybridization can also be a key source of genetic variation and pre-adapted haplotypes, enabling rapid evolution and niche expansion. Here we evaluate these opposing selection forces on introgressed ancestry between maize ( Zea mays ssp. mays ) and its wild teosinte relative, mexicana ( Zea mays ssp. mexicana ). Introgression from ecologically diverse teosinte may have facilitated maize’s global range expansion, in particular to challenging high elevation regions (&gt; 1500 m). We generated low-coverage genome sequencing data for 348 maize and mexicana individuals to evaluate patterns of introgression in 14 sympatric population pairs, spanning the elevational range of mexicana , a teosinte endemic to the mountains of Mexico. While recent hybrids are commonly observed in sympatric populations and mexicana demonstrates fine-scale local adaptation, we find that the majority of mexicana ancestry tracts introgressed into maize over 1000 generations ago. This mexicana ancestry seems to have maintained much of its diversity and likely came from a common ancestral source, rather than contemporary sympatric populations, resulting in relatively low F ST between mexicana ancestry tracts sampled from geographically distant maize populations. Introgressed mexicana ancestry in maize is reduced in lower-recombination rate quintiles of the genome and around domestication genes, consistent with pervasive selection against introgression. However, we also find mexicana ancestry increases across the sampled elevational gradient and that high introgression peaks are most commonly shared among high-elevation maize populations, consistent with introgression from mexicana facilitating adaptation to the highland environment. In the other direction, we find patterns consistent with adaptive and clinal introgression of maize ancestry into sympatric mexicana at many loci across the genome, suggesting that maize also contributes to adaptation in mexicana , especially at the lower end of its elevational range. In sympatric maize, in addition to high introgression regions we find many genomic regions where selection for local adaptation maintains steep gradients in introgressed mexicana ancestry across elevation, including at least two inversions: the well-characterized 14 Mb Inv4m on chromosome 4 and a novel 3 Mb inversion Inv9f surrounding the macrohairless1 locus on chromosome 9. Most outlier loci with high mexicana introgression show no signals of sweeps or local sourcing from sympatric populations and so likely represent ancestral introgression sorted by selection, resulting in correlated but distinct outcomes of introgression in different contemporary maize populations.
 </p></details><p></p>"
"2021",10,"<details>
    <summary> [Molecular Parallelism Underlies Convergent Highland Adaptation of Maize Landraces](https://doi.org/10.1093/molbev/msab119)
 Li Wang, Emily B Josephs, Kristin M Lee, Lucas M Roberts, Rubén Rellán-Álvarez, **Jeffrey Ross-Ibarra**, Matthew B Hufford

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Convergent phenotypic evolution provides some of the strongest evidence for adaptation. However, the extent to which recurrent phenotypic adaptation has arisen via parallelism at the molecular level remains unresolved, as does the evolutionary origin of alleles underlying such adaptation. Here, we investigate genetic mechanisms of convergent highland adaptation in maize landrace populations and evaluate the genetic sources of recurrently selected alleles. Population branch excess statistics reveal substantial evidence of parallel adaptation at the level of individual single-nucleotide polymorphism (SNPs), genes, and pathways in four independent highland maize populations. The majority of convergently selected SNPs originated via migration from a single population, most likely in the Mesoamerican highlands, while standing variation introduced by ancient gene flow was also a contributor. Polygenic adaptation analyses of quantitative traits reveal that alleles affecting flowering time are significantly associated with elevation, indicating the flowering time pathway was targeted by highland adaptation. In addition, repeatedly selected genes were significantly enriched in the flowering time pathway, indicating their significance in adapting to highland conditions. Overall, our study system represents a promising model to study convergent evolution in plants with potential applications to crop adaptation across environmental gradients.
 </p></details><p></p>"
"2021",11,"<details>
    <summary> [Gene body methylation is under selection in Arabidopsis thaliana](https://doi.org/10.1093/genetics/iyab061)
 Aline Muyle, **Jeffrey Ross-Ibarra**, Danelle K Seymour, Brandon S Gaut

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract In plants, mammals and insects, some genes are methylated in the CG dinucleotide context, a phenomenon called gene body methylation (gbM). It has been controversial whether this phenomenon has any functional role. Here, we took advantage of the availability of 876 leaf methylomes in Arabidopsis thaliana to characterize the population frequency of methylation at the gene level and to estimate the site-frequency spectrum of allelic states. Using a population genetics model specifically designed for epigenetic data, we found that genes with ancestral gbM are under significant selection to remain methylated. Conversely, ancestrally unmethylated genes were under selection to remain unmethylated. Repeating the analyses at the level of individual cytosines confirmed these results. Estimated selection coefficients were small, on the order of 4 Nes = 1.4, which is similar to the magnitude of selection acting on codon usage. We also estimated that A. thaliana is losing gbM threefold more rapidly than gaining it, which could be due to a recent reduction in the efficacy of selection after a switch to selfing. Finally, we investigated the potential function of gbM through its link with gene expression. Across genes with polymorphic methylation states, the expression of gene body methylated alleles was consistently and significantly higher than unmethylated alleles. Although it is difficult to disentangle genetic from epigenetic effects, our work suggests that gbM has a small but measurable effect on fitness, perhaps due to its association to a phenotype-like gene expression.
 </p></details><p></p>"
"2021",12,"<details>
    <summary> [Correction: Incomplete dominance of deleterious alleles contributes substantially to trait variation and heterosis in maize](https://doi.org/10.1371/journal.pgen.1009825)
 Jinliang Yang, Sofiane Mezmouk, Andy Baumgarten, Edward S. Buckler, Katherine E. Guill, Michael D. McMullen, Rita H. Mumm, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2021",13,"<details>
    <summary> [Domestication reshaped the genetic basis of inbreeding depression in a maize landrace compared to its wild relative, teosinte](https://doi.org/10.1371/journal.pgen.1009797)
 Luis Fernando Samayoa, Bode A. Olukolu, Chin Jian Yang, Qiuyue Chen, ...[8 authors]..., **Jeffrey Ross-Ibarra**, Edward S. Buckler, John F. Doebley, James B. Holland

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Inbreeding depression is the reduction in fitness and vigor resulting from mating of close relatives observed in many plant and animal species. The extent to which the genetic load of mutations contributing to inbreeding depression is due to large-effect mutations versus variants with very small individual effects is unknown and may be affected by population history. We compared the effects of outcrossing and self-fertilization on 18 traits in a landrace population of maize, which underwent a population bottleneck during domestication, and a neighboring population of its wild relative teosinte. Inbreeding depression was greater in maize than teosinte for 15 of 18 traits, congruent with the greater segregating genetic load in the maize population that we predicted from sequence data. Parental breeding values were highly consistent between outcross and selfed offspring, indicating that additive effects determine most of the genetic value even in the presence of strong inbreeding depression. We developed a novel linkage scan to identify quantitative trait loci (QTL) representing large-effect rare variants carried by only a single parent, which were more important in teosinte than maize. Teosinte also carried more putative juvenile-acting lethal variants identified by segregation distortion. These results suggest a mixture of mostly polygenic, small-effect partially recessive effects in linkage disequilibrium underlying inbreeding depression, with an additional contribution from rare larger-effect variants that was more important in teosinte but depleted in maize following the domestication bottleneck. Purging associated with the maize domestication bottleneck may have selected against some large effect variants, but polygenic load is harder to purge and overall segregating mutational burden increased in maize compared to teosinte.
 </p></details><p></p>"
"2020",6,"<details>
    <summary> [Evolutionary insights into plant breeding](https://doi.org/10.1016/j.pbi.2020.03.003)
 Sarah D Turner-Hissong, Makenzie E Mabry, Timothy M Beissinger, **Jeffrey Ross-Ibarra**, J Chris Pires

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2020",7,"<details>
    <summary> [Genomics of Long- and Short-Term Adaptation in Maize and Teosintes](https://doi.org/10.1007/978-1-0716-0199-0_12)
 Anne Lorant, **Jeffrey Ross-Ibarra**, Maud Tenaillon

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Maize is an excellent model for the study of plant adaptation. Indeed, post domestication maize quickly adapted to a host of new environments across the globe. And work over the last decade has begun to highlight the role of the wild relatives of maize—the teosintes Zea mays ssp. parviglumis and ssp. mexicana —as excellent models for dissecting long-term local adaptation. Although human-driven selection associated with maize domestication has been extensively studied, the genetic basis of natural variation is still poorly understood. Here we review studies on the genetic basis of adaptation and plasticity in maize and its wild relatives. We highlight a range of different processes that contribute to adaptation and discuss evidence from natural, cultivated, and experimental populations. From an applied perspective, understanding the genetic bases of adaptation and the contribution of plasticity will provide us with new tools to both better understand and mitigate the effect of climate changes on natural and cultivated populations.
 </p></details><p></p>"
"2020",8,"<details>
    <summary> [Genome-wide selection and genetic improvement during modern maize breeding](https://doi.org/10.1038/s41588-020-0616-3)
 Baobao Wang, Zechuan Lin, Xin Li, Yongping Zhao, ...[19 authors]..., Matthew B. Hufford, **Jeffrey Ross-Ibarra**, Hang He, Haiyang Wang

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2020",9,"<details>
    <summary> [The Temporal Dynamics of Background Selection in Nonequilibrium Populations](https://doi.org/10.1534/genetics.119.302892)
 Raul Torres, Markus G Stetter, Ryan D Hernandez, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Neutral genetic diversity across the genome is determined by the complex interplay of mutation, demographic history, and natural selection. While the direct action of natural selection is limited to functional loci across the genome, its impact can have effects on nearby neutral loci due to genetic linkage. These effects of selection at linked sites, referred to as genetic hitchhiking and background selection (BGS), are pervasive across natural populations. However, only recently has there been a focus on the joint consequences of demography and selection at linked sites, and some empirical studies have come to apparently contradictory conclusions as to their combined effects. To understand the relationship between demography and selection at linked sites, we conducted an extensive forward simulation study of BGS under a range of demographic models. We found that the relative levels of diversity in BGS and neutral regions vary over time and that the initial dynamics after a population size change are often in the opposite direction of the long-term expected trajectory. Our detailed observations of the temporal dynamics of neutral diversity in the context of selection at linked sites in nonequilibrium populations provide new intuition about why patterns of diversity under BGS vary through time in natural populations and help reconcile previously contradictory observations. Most notably, our results highlight that classical models of BGS are poorly suited for predicting diversity in nonequilibrium populations.
 </p></details><p></p>"
"2020",10,"<details>
    <summary> [Evolutionary and functional genomics of DNA methylation in maize domestication and improvement](https://doi.org/10.1038/s41467-020-19333-4)
 Gen Xu, Jing Lyu, Qing Li, Han Liu, Dafang Wang, Mei Zhang, Nathan M. Springer, **Jeffrey Ross-Ibarra**, Jinliang Yang

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract DNA methylation is a ubiquitous chromatin feature, present in 25% of cytosines in the maize genome, but variation and evolution of the methylation landscape during maize domestication remain largely unknown. Here, we leverage whole-genome sequencing (WGS) and whole-genome bisulfite sequencing (WGBS) data on populations of modern maize, landrace, and teosinte ( Zea mays ssp. parviglumis) to estimate epimutation rates and selection coefficients. We find weak evidence for direct selection on DNA methylation in any context, but thousands of differentially methylated regions (DMRs) are identified population-wide that are correlated with recent selection. For two trait-associated DMRs, vgt1 -DMR and tb1 -DMR, HiChIP data indicate that the interactive loops between DMRs and respective downstream genes are present in B73, a modern maize line, but absent in teosinte. Our results enable a better understanding of the evolutionary forces acting on patterns of DNA methylation and suggest a role of methylation variation in adaptive evolution.
 </p></details><p></p>"
"2020",11,"<details>
    <summary> [The genetic architecture of the maize progenitor, teosinte, and how it was altered during maize domestication](https://doi.org/10.1371/journal.pgen.1008791)
 Qiuyue Chen, Luis Fernando Samayoa, Chin Jian Yang, Peter J. Bradbury, ...[5 authors]..., Edward S. Buckler, **Jeffrey Ross-Ibarra**, James B. Holland, John F. Doebley

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2020",12,"<details>
    <summary> [Selective Loss of Diversity in Doubled-Haploid Lines from European Maize Landraces](https://doi.org/10.1534/g3.120.401196)
 Leo Zeitler, **Jeffrey Ross-Ibarra**, Markus G Stetter

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Maize landraces are well adapted to their local environments and present valuable sources of genetic diversity for breeding and conservation. But the maintenance of open-pollinated landraces in ex-situ programs is challenging, as regeneration of seed can often lead to inbreeding depression and the loss of diversity due to genetic drift. Recent reports suggest that the production of doubled-haploid (DH) lines from landraces may serve as a convenient means to preserve genetic diversity in a homozygous form that is immediately useful for modern breeding. The production of doubled-haploid (DH) lines presents an extreme case of inbreeding which results in instantaneous homozygosity genome-wide. Here, we analyzed the effect of DH production on genetic diversity, using genome-wide SNP data from hundreds of individuals of five European landraces and their related DH lines. In contrast to previous findings, we observe a dramatic loss of diversity at both the haplotype level and that of individual SNPs. We identify thousands of SNPs that exhibit allele frequency differences larger than expected under models of neutral genetic drift and document losses of shared haplotypes. We find evidence consistent with selection at functional sites that are potentially involved in the diversity differences between landrace and DH populations. Although we were unable to uncover more details about the mode of selection, we conclude that landrace DH lines may be a valuable tool for the introduction of variation into maize breeding programs but come at the cost of decreased genetic diversity.
 </p></details><p></p>"
"2019",6,"<details>
    <summary> [Detecting Adaptive Differentiation in Structured Populations with Genomic Data and Common Gardens](https://doi.org/10.1534/genetics.118.301786)
 Emily B Josephs, Jeremy J Berg, **Jeffrey Ross-Ibarra**, Graham Coop

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Adaptation in quantitative traits often occurs through subtle shifts in allele frequencies at many loci—a process called polygenic adaptation. While a number of methods have been developed to detect polygenic adaptation in human populations, we lack clear strategies for doing so in many other systems. In particular, there is an opportunity to develop new methods that leverage datasets with genomic data and common garden trait measurements to systematically detect the quantitative traits important for adaptation. Here, we develop methods that do just this, using principal components of the relatedness matrix to detect excess divergence consistent with polygenic adaptation, and using a conditional test to control for confounding effects due to population structure. We apply these methods to inbred maize lines from the United States Department of Agriculture germplasm pool and maize landraces from Europe. Ultimately, these methods can be applied to additional domesticated and wild species to give us a broader picture of the specific traits that contribute to adaptation and the overall importance of polygenic adaptation in shaping quantitative trait variation.
 </p></details><p></p>"
"2019",7,"<details>
    <summary> [Transposable elements contribute to dynamic genome content in maize](https://doi.org/10.1111/tpj.14489)
 Sarah N. Anderson, Michelle C. Stitzer, Alex B. Brohammer, Peng Zhou, ...[2 authors]..., Cory D. Hirsch, Jeffrey Ross‐Ibarra, Candice N. Hirsch, Nathan M. Springer

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Summary Transposable elements ( TE s) are ubiquitous components of eukaryotic genomes and can create variation in genome organization and content. Most maize genomes are composed of TE s. We developed an approach to define shared and variable TE insertions across genome assemblies and applied this method to four maize genomes (B73, W22, Mo17 and PH 207) with uniform structural annotations of TE s. Among these genomes we identified approximately 400 000 TE s that are polymorphic, encompassing 1.6 Gb of variable TE sequence. These polymorphic TE s include a combination of recent transposition events as well as deletions of older TE s. There are examples of polymorphic TE s within each of the superfamilies of TE s and they are found distributed across the genome, including in regions of recent shared ancestry among individuals. There are many examples of polymorphic TE s within or near maize genes. In addition, there are 2380 gene annotations in the B73 genome that are located within variable TE s, providing evidence for the role of TE s in contributing to the substantial differences in annotated gene content among these genotypes. TE s are highly variable in our survey of four temperate maize genomes, highlighting the major contribution of TE s in driving variation in genome organization and gene content. Open Research Badges This article has earned an Open Data Badge for making publicly available the digitally‐shareable data necessary to reproduce the reported results. The data is available at https://github.com/SNAnderson/maizeTE_variation ; https://mcstitzer.github.io/maize_TEs .
 </p></details><p></p>"
"2019",8,"<details>
    <summary> [Dynamic Patterns of Transcript Abundance of Transposable Element Families in Maize](https://doi.org/10.1534/g3.119.400431)
 Sarah N Anderson, Michelle C Stitzer, Peng Zhou, **Jeffrey Ross-Ibarra**, Cory D Hirsch, Nathan M Springer

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Transposable Elements (TEs) are mobile elements that contribute the majority of DNA sequences in the maize genome. Due to their repetitive nature, genomic studies of TEs are complicated by the difficulty of properly attributing multi-mapped short reads to specific genomic loci. Here, we utilize a method to attribute RNA-seq reads to TE families rather than particular loci in order to characterize transcript abundance for TE families in the maize genome. We applied this method to assess per-family expression of transposable elements in &amp;gt;800 published RNA-seq libraries representing a range of maize development, genotypes, and hybrids. While a relatively small proportion of TE families are transcribed, expression is highly dynamic with most families exhibiting tissue-specific expression. A large number of TE families were specifically detected in pollen and endosperm, consistent with reproductive dynamics that maintain silencing of TEs in the germ line. We find that B73 transcript abundance is a poor predictor of TE expression in other genotypes and that transcript levels can differ even for shared TEs. Finally, by assessing recombinant inbred line and hybrid transcriptomes, complex patterns of TE transcript abundance across genotypes emerged. Taken together, this study reveals a dynamic contribution of TEs to maize transcriptomes.
 </p></details><p></p>"
"2019",9,"<details>
    <summary> [Adaptive phenotypic divergence in an annual grass differs across biotic contexts*](https://doi.org/10.1111/evo.13818)
 Anna M. O'Brien, Ruairidh J.H. Sawers, Sharon Y. Strauss, Jeffrey Ross‐Ibarra

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2019",10,"<details>
    <summary> [Hybrid Decay: A Transgenerational Epigenetic Decline in Vigor and Viability Triggered in Backcross Populations of Teosinte with Maize](https://doi.org/10.1534/genetics.119.302378)
 Wei Xue, Sarah N Anderson, Xufeng Wang, Liyan Yang, ...[8 authors]..., Sherry Flint-Garcia, Xuemei Chen, Nathan M Springer, John F Doebley

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Xue et al. describe a phenomenon in maize and its nearest wild relative, teosinte, by which backcross progeny of a specific teosinte and maize exhibit a sickly whole-plant phenotype involving changes in morphology, vigor, and viability... In the course of generating populations of maize with teosinte chromosomal introgressions, an unusual sickly plant phenotype was noted in individuals from crosses with two teosinte accessions collected near Valle de Bravo, Mexico. The plants of these Bravo teosinte accessions appear phenotypically normal themselves and the F1 plants appear similar to typical maize × teosinte F1s. However, upon backcrossing to maize, the BC1 and subsequent generations display a number of detrimental characteristics including shorter stature, reduced seed set, and abnormal floral structures. This phenomenon is observed in all BC individuals and there is no chromosomal segment linked to the sickly plant phenotype in advanced backcross generations. Once the sickly phenotype appears in a lineage, normal plants are never again recovered by continued backcrossing to the normal maize parent. Whole-genome shotgun sequencing reveals a small number of genomic sequences, some with homology to transposable elements, that have increased in copy number in the backcross populations. Transcriptome analysis of seedlings, which do not have striking phenotypic abnormalities, identified segments of 18 maize genes that exhibit increased expression in sickly plants. A de novo assembly of transcripts present in plants exhibiting the sickly phenotype identified a set of 59 upregulated novel transcripts. These transcripts include some examples with sequence similarity to transposable elements and other sequences present in the recurrent maize parent (W22) genome as well as novel sequences not present in the W22 genome. Genome-wide profiles of gene expression, DNA methylation, and small RNAs are similar between sickly plants and normal controls, although a few upregulated transcripts and transposable elements are associated with altered small RNA or methylation profiles. This study documents hybrid incompatibility and genome instability triggered by the backcrossing of Bravo teosinte with maize. We name this phenomenon “hybrid decay” and present ideas on the mechanism that may underlie it.
 </p></details><p></p>"
"2019",11,"<details>
    <summary> [Characterization of introgression from the teosinte Zea mays ssp. mexicana to Mexican highland maize](https://doi.org/10.7717/peerj.6815)
 Eric Gonzalez-Segovia, Sergio Pérez-Limon, G. Carolina Cíntora-Martínez, Alejandro Guerrero-Zavala, Garrett M. Janzen, Matthew B. Hufford, **Jeffrey Ross-Ibarra**, Ruairidh J. H. Sawers

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Background The spread of maize cultivation to the highlands of central Mexico was accompanied by substantial introgression from the endemic wild teosinte Zea mays ssp. mexicana , prompting the hypothesis that the transfer of beneficial variation facilitated local adaptation. Methods We used whole-genome sequence data to map regions of Zea mays ssp. mexicana introgression in three Mexican highland maize individuals. We generated a genetic linkage map and performed Quantitative Trait Locus mapping in an F 2 population derived from a cross between lowland and highland maize individuals. Results Introgression regions ranged in size from several hundred base pairs to Megabase-scale events. Gene density within introgression regions was comparable to the genome as a whole, and over 1,000 annotated genes were located within introgression events. Quantitative Trait Locus mapping identified a small number of loci linked to traits characteristic of Mexican highland maize. Discussion Although there was no strong evidence to associate quantitative trait loci with regions of introgression, we nonetheless identified many Mexican highland alleles of introgressed origin that carry potentially functional sequence variants. The impact of introgression on stress tolerance and yield in the highland environment remains to be fully characterized.
 </p></details><p></p>"
